model,series,start_index,start_timestamp,horizon,tau_pred,tau_true,cp_abs_error,tolerance_hit,safe_ceiling,bound_95,actual_interval_max,sharpness,coverage_hits,coverage_count,coverage_window,y_pred_median,y_pred_95
chronos2,T36870A,582,2025-01-01 00:09:42,48,13,48,35.0,0,6.5802154541015625,6.5802154541015625,5.460809702450868,1.1194057516506941,48,48,1.0,"[4.846526145935059, 4.737834453582764, 4.641077518463135, 4.6259026527404785, 4.677163124084473, 4.736118316650391, 4.795470237731934, 4.843265533447266, 4.9123430252075195, 4.9457688331604, 4.925784111022949, 4.9563703536987305, 5.014471530914307, 5.075109481811523, 5.137120723724365, 5.215767860412598, 5.271265029907227, 5.293224811553955, 5.343251705169678, 5.302053451538086, 5.265320301055908, 5.186378002166748, 5.080409526824951, 4.922958850860596, 4.782843112945557, 4.687713146209717, 4.612617492675781, 4.603425025939941, 4.65584659576416, 4.717879295349121, 4.793096542358398, 4.845757484436035, 4.875847339630127, 4.919826507568359, 4.933084964752197, 4.975040435791016, 5.070749282836914, 5.168023586273193, 5.245829105377197, 5.353025436401367, 5.436733722686768, 5.472666263580322, 5.507300853729248, 5.508061408996582, 5.4676384925842285, 5.4193925857543945, 5.3480939865112305, 5.234920978546143]","[5.491483211517334, 5.56119966506958, 5.610044956207275, 5.738128662109375, 5.8772454261779785, 5.9972944259643555, 6.127240180969238, 6.237637519836426, 6.349260330200195, 6.408291339874268, 6.453874588012695, 6.502679824829102, 6.5802154541015625, 6.610371112823486, 6.729028701782227, 6.744513511657715, 7.0184478759765625, 7.137143611907959, 7.09632682800293, 7.073451519012451, 7.06490421295166, 7.004568099975586, 6.9183855056762695, 6.795461177825928, 6.788928031921387, 6.617427825927734, 6.6416215896606445, 6.644238471984863, 6.675178527832031, 6.795811653137207, 6.901882171630859, 7.009779930114746, 7.166445732116699, 7.248929977416992, 7.2797346115112305, 7.342196464538574, 7.341840744018555, 7.5720720291137695, 7.654409885406494, 7.770397186279297, 7.77834939956665, 7.852386474609375, 7.7906694412231445, 7.7955322265625, 7.760298728942871, 7.73968505859375, 7.691562652587891, 7.642288684844971]"
chronos2,T36870A,1124,2025-01-01 00:18:44,48,14,27,13.0,0,31.30467987060547,31.30467987060547,25.723068996895066,5.581610873710403,27,27,1.0,"[23.852981567382812, 23.817279815673828, 23.878036499023438, 23.889244079589844, 23.881317138671875, 23.859819412231445, 23.9329776763916, 23.905311584472656, 23.979976654052734, 24.01567840576172, 23.999300003051758, 23.966299057006836, 23.95609474182129, 24.029193878173828, 24.092748641967773, 24.037487030029297, 24.159992218017578, 24.128660202026367, 24.179555892944336, 24.257648468017578, 24.257566452026367, 24.195913314819336, 24.318195343017578, 24.29136085510254, 24.438335418701172, 24.42424964904785, 24.417089462280273, 24.368572235107422, 24.29492950439453, 24.38055992126465, 24.4915828704834, 24.40049171447754, 24.523799896240234, 24.413394927978516, 24.452592849731445, 24.598665237426758, 24.578105926513672, 24.566320419311523, 24.728965759277344, 24.588272094726562, 24.802188873291016, 24.842594146728516, 24.736059188842773, 24.66811180114746, 24.69662857055664, 24.87723731994629, 24.945180892944336, 24.78614616394043]","[25.982372283935547, 26.722362518310547, 27.478607177734375, 28.20438003540039, 28.39763641357422, 28.84514617919922, 29.297115325927734, 29.67255401611328, 29.86562728881836, 30.089111328125, 30.388458251953125, 30.733928680419922, 31.1700439453125, 31.30467987060547, 31.587337493896484, 31.826763153076172, 32.0720100402832, 32.414337158203125, 32.46746826171875, 32.77216720581055, 32.672935485839844, 33.29029083251953, 33.34730529785156, 33.85167694091797, 33.780067443847656, 34.00812911987305, 34.19675064086914, 34.28587341308594, 34.6122932434082, 34.79014587402344, 35.23350524902344, 35.0681037902832, 36.985225677490234, 37.10694122314453, 37.17143249511719, 37.45330047607422, 36.96666717529297, 37.93082046508789, 38.117897033691406, 38.586761474609375, 38.39501953125, 38.682193756103516, 38.81797409057617, 39.19465637207031, 39.29356384277344, 39.5340690612793, 39.949867248535156, 39.75002670288086]"
chronos2,T36870A,1030,2025-01-01 00:17:10,48,10,37,27.0,0,18.784069061279297,18.784069061279297,16.70977509920546,2.0742939620738383,37,37,1.0,"[15.542702674865723, 15.527189254760742, 15.510273933410645, 15.556830406188965, 15.547078132629395, 15.582056045532227, 15.584092140197754, 15.5899658203125, 15.555542945861816, 15.47172737121582, 15.414715766906738, 15.333121299743652, 15.274056434631348, 15.220376968383789, 15.211922645568848, 15.17219066619873, 15.178020477294922, 15.25183391571045, 15.299291610717773, 15.306817054748535, 15.308764457702637, 15.319883346557617, 15.306713104248047, 15.301530838012695, 15.281314849853516, 15.257046699523926, 15.261237144470215, 15.26213264465332, 15.277012825012207, 15.266712188720703, 15.297479629516602, 15.337295532226562, 15.364188194274902, 15.347034454345703, 15.340514183044434, 15.289237976074219, 15.267425537109375, 15.261275291442871, 15.230145454406738, 15.21129035949707, 15.205315589904785, 15.209278106689453, 15.212150573730469, 15.231794357299805, 15.245694160461426, 15.250738143920898, 15.294231414794922, 15.319561958312988]","[16.81906509399414, 17.45708465576172, 17.842756271362305, 18.116689682006836, 18.310827255249023, 18.52698516845703, 18.66783332824707, 18.736154556274414, 18.761409759521484, 18.784069061279297, 18.733367919921875, 18.683330535888672, 18.63558578491211, 18.733539581298828, 18.614395141601562, 18.62730598449707, 18.954618453979492, 18.9057559967041, 18.952062606811523, 19.08331871032715, 19.04974937438965, 19.122303009033203, 19.160282135009766, 19.17897605895996, 19.268953323364258, 19.336841583251953, 19.404258728027344, 19.442302703857422, 19.50959014892578, 19.55537986755371, 19.537782669067383, 19.515541076660156, 19.85005760192871, 19.797210693359375, 19.79438591003418, 19.907745361328125, 19.854928970336914, 19.916004180908203, 19.934419631958008, 19.870426177978516, 19.982891082763672, 19.999141693115234, 20.05150604248047, 20.083938598632812, 20.14188003540039, 20.101539611816406, 20.104938507080078, 20.18181610107422]"
chronos2,T36870A,859,2025-01-01 00:14:19,48,10,12,2.0,1,18.480228424072266,18.480228424072266,21.65647303559965,-3.176244611527384,3,12,0.25,"[16.429601669311523, 16.237876892089844, 15.593100547790527, 15.255659103393555, 15.241531372070312, 15.011828422546387, 14.076566696166992, 13.917366027832031, 13.552494049072266, 12.920478820800781, 13.039095878601074, 12.978476524353027, 13.041736602783203, 13.119858741760254, 13.123127937316895, 13.312013626098633, 14.25991153717041, 14.487997055053711, 14.278751373291016, 14.034451484680176, 14.035575866699219, 13.880843162536621, 13.898616790771484, 13.079659461975098, 12.898394584655762, 12.908416748046875, 12.840420722961426, 12.887432098388672, 12.927725791931152, 13.200301170349121, 14.223495483398438, 14.682146072387695, 14.881589889526367, 15.371997833251953, 15.741556167602539, 15.89708137512207, 15.515909194946289, 15.07204532623291, 14.668035507202148, 14.742874145507812, 14.065730094909668, 13.903594970703125, 13.863429069519043, 13.979940414428711, 13.882312774658203, 13.914985656738281, 14.239176750183105, 14.921476364135742]","[17.984603881835938, 18.36008644104004, 18.128643035888672, 18.21798324584961, 18.292299270629883, 18.480228424072266, 17.880407333374023, 17.877378463745117, 17.690654754638672, 17.041399002075195, 17.28199577331543, 17.359375, 17.477577209472656, 17.800384521484375, 17.732053756713867, 18.171152114868164, 18.866214752197266, 19.192041397094727, 18.824424743652344, 18.7658634185791, 18.586732864379883, 18.879199981689453, 18.883304595947266, 18.09022331237793, 17.883207321166992, 17.784530639648438, 17.86370086669922, 17.930635452270508, 17.867341995239258, 18.42886734008789, 19.693071365356445, 19.741920471191406, 19.900470733642578, 20.477455139160156, 20.73645782470703, 20.665851593017578, 20.2896785736084, 20.072265625, 19.875967025756836, 19.859073638916016, 19.324230194091797, 19.026123046875, 19.245468139648438, 19.26807403564453, 19.134037017822266, 19.389118194580078, 19.577390670776367, 20.132301330566406]"
chronos2,T36870A,854,2025-01-01 00:14:14,48,48,18,30.0,0,21.579757690429688,21.579757690429688,21.65647303559965,-0.07671534516996203,17,18,0.9444444444444444,"[13.444886207580566, 13.650423049926758, 13.830977439880371, 14.05385971069336, 14.38697624206543, 14.841522216796875, 15.048011779785156, 14.981897354125977, 14.987274169921875, 15.035024642944336, 14.954215049743652, 14.744087219238281, 14.5436429977417, 14.304327964782715, 14.188153266906738, 14.033665657043457, 13.789154052734375, 13.716184616088867, 13.775467872619629, 13.972009658813477, 14.159006118774414, 14.283105850219727, 14.457036018371582, 14.750469207763672, 14.864410400390625, 14.883109092712402, 14.887378692626953, 14.80785083770752, 14.775623321533203, 14.556793212890625, 14.375264167785645, 14.155527114868164, 14.075041770935059, 13.98524284362793, 14.013527870178223, 14.032527923583984, 14.12175464630127, 14.270768165588379, 14.38846492767334, 14.60287857055664, 14.717011451721191, 14.714118003845215, 14.722261428833008, 14.647408485412598, 14.521799087524414, 14.371688842773438, 14.246792793273926, 14.059480667114258]","[14.78222942352295, 15.771249771118164, 16.65284538269043, 17.455970764160156, 18.189971923828125, 18.902280807495117, 19.276779174804688, 19.486248016357422, 19.483198165893555, 19.56385040283203, 19.482254028320312, 19.42348861694336, 19.470684051513672, 19.26681137084961, 19.17108726501465, 19.084434509277344, 19.223201751708984, 19.302627563476562, 19.48061752319336, 19.723262786865234, 19.760271072387695, 20.146713256835938, 20.353057861328125, 20.76540756225586, 20.765214920043945, 20.991350173950195, 20.95103645324707, 20.895076751708984, 20.85441780090332, 20.725238800048828, 20.62770652770996, 20.485942840576172, 20.440214157104492, 20.41474151611328, 20.374364852905273, 20.57429313659668, 20.505081176757812, 20.870880126953125, 21.105422973632812, 21.293895721435547, 21.258174896240234, 21.579757690429688, 21.466163635253906, 21.416807174682617, 21.42390251159668, 21.188989639282227, 21.197011947631836, 21.21480941772461]"
chronos2,T36870A,1192,2025-01-01 00:19:52,48,22,12,10.0,0,24.19997787475586,24.19997787475586,19.13643853907933,5.063539335676531,12,12,1.0,"[17.355480194091797, 17.469289779663086, 17.69420623779297, 17.84771728515625, 17.9902400970459, 18.211828231811523, 18.680843353271484, 18.685720443725586, 18.544078826904297, 18.312620162963867, 18.180908203125, 18.15597915649414, 18.074382781982422, 17.82993507385254, 17.77570343017578, 17.786205291748047, 17.513404846191406, 17.460693359375, 17.602285385131836, 17.85660171508789, 18.238069534301758, 18.78726577758789, 19.45325469970703, 19.773319244384766, 20.054426193237305, 20.095670700073242, 20.148788452148438, 20.08648681640625, 19.942764282226562, 19.671463012695312, 19.427074432373047, 19.191082000732422, 18.902524948120117, 18.7200870513916, 18.66122817993164, 18.61085319519043, 18.595542907714844, 18.620555877685547, 18.74118423461914, 18.76419448852539, 18.760725021362305, 18.768177032470703, 18.745922088623047, 18.686872482299805, 18.65945816040039, 18.527830123901367, 18.483369827270508, 18.386484146118164]","[19.392255783081055, 20.19775390625, 21.307518005371094, 22.089622497558594, 22.57727813720703, 22.988929748535156, 23.660343170166016, 23.606922149658203, 23.587209701538086, 23.223430633544922, 23.26286506652832, 23.22806167602539, 22.978832244873047, 22.818946838378906, 22.614471435546875, 22.936386108398438, 22.62244415283203, 22.62472152709961, 22.72168731689453, 23.106449127197266, 23.645307540893555, 24.19997787475586, 25.02927589416504, 25.3743839263916, 25.58074188232422, 25.858844757080078, 25.69829559326172, 25.55575180053711, 25.452014923095703, 25.180625915527344, 24.732013702392578, 24.574058532714844, 23.988840103149414, 23.777950286865234, 23.816131591796875, 23.8203125, 23.77781867980957, 23.872053146362305, 23.9615478515625, 24.008636474609375, 24.020828247070312, 23.960506439208984, 24.003870010375977, 23.95844268798828, 23.87065315246582, 23.853227615356445, 23.83498191833496, 24.059911727905273]"
chronos2,T36870A,580,2025-01-01 00:09:40,48,25,48,23.0,0,7.4254655838012695,7.4254655838012695,5.701690422940944,1.7237751608603258,48,48,1.0,"[5.564818859100342, 5.483393669128418, 5.4029035568237305, 5.33084774017334, 5.264029502868652, 5.2435736656188965, 5.222289085388184, 5.253049373626709, 5.266922473907471, 5.268743991851807, 5.260529518127441, 5.260488033294678, 5.226259231567383, 5.198454856872559, 5.2214860916137695, 5.258452415466309, 5.295581340789795, 5.31702995300293, 5.344674110412598, 5.338644504547119, 5.387863636016846, 5.375472545623779, 5.3495707511901855, 5.334015369415283, 5.3037261962890625, 5.237583637237549, 5.1911163330078125, 5.159490585327148, 5.133702754974365, 5.114890098571777, 5.159246921539307, 5.2082133293151855, 5.124547958374023, 5.156966209411621, 5.219812393188477, 5.25236701965332, 5.27290153503418, 5.317776203155518, 5.387897968292236, 5.479940414428711, 5.558191776275635, 5.627617359161377, 5.669174671173096, 5.724550247192383, 5.769351959228516, 5.77992057800293, 5.773745059967041, 5.7169084548950195]","[6.142297744750977, 6.277338981628418, 6.355772972106934, 6.429427146911621, 6.441893577575684, 6.48177433013916, 6.560620307922363, 6.6365766525268555, 6.677774429321289, 6.7625322341918945, 6.807753562927246, 6.828907012939453, 6.926078796386719, 6.9059624671936035, 7.008208274841309, 7.007079124450684, 7.3090949058532715, 7.383061408996582, 7.362820625305176, 7.3807525634765625, 7.35733699798584, 7.355817794799805, 7.4254655838012695, 7.419522285461426, 7.334752082824707, 7.382623672485352, 7.36765193939209, 7.309262275695801, 7.362569332122803, 7.339139461517334, 7.421919345855713, 7.417015552520752, 7.91334342956543, 7.987793922424316, 8.096748352050781, 8.07160472869873, 8.168530464172363, 8.337746620178223, 8.392352104187012, 8.439960479736328, 8.416372299194336, 8.514123916625977, 8.524784088134766, 8.519526481628418, 8.557520866394043, 8.633193969726562, 8.608988761901855, 8.614279747009277]"
chronos2,T36870A,1064,2025-01-01 00:17:44,48,36,19,17.0,0,19.921375274658203,19.921375274658203,19.44948902004157,0.47188625461663136,19,19,1.0,"[14.04843521118164, 15.316838264465332, 15.91513442993164, 16.661190032958984, 17.107967376708984, 16.864301681518555, 17.356952667236328, 16.857755661010742, 16.98915672302246, 16.761329650878906, 16.789445877075195, 16.221824645996094, 15.940791130065918, 15.715302467346191, 15.838055610656738, 15.861451148986816, 16.930461883544922, 16.92101287841797, 16.898883819580078, 16.742189407348633, 16.815845489501953, 15.850689888000488, 15.480657577514648, 14.952340126037598, 15.186509132385254, 15.403831481933594, 15.918014526367188, 16.229780197143555, 16.382938385009766, 16.64396858215332, 17.375680923461914, 17.484519958496094, 18.04998016357422, 17.39961051940918, 17.55133819580078, 16.005861282348633, 15.679244041442871, 15.347861289978027, 15.168280601501465, 15.077176094055176, 14.799147605895996, 14.630864143371582, 14.60977840423584, 15.183672904968262, 15.800521850585938, 15.959427833557129, 16.06618309020996, 15.4360990524292]","[16.16650390625, 17.623477935791016, 18.141895294189453, 18.740873336791992, 19.018314361572266, 18.76177978515625, 19.216209411621094, 18.61459732055664, 18.681840896606445, 18.33116912841797, 18.40473175048828, 17.79551124572754, 17.54865837097168, 17.328439712524414, 17.40232276916504, 17.44491958618164, 18.564571380615234, 18.538009643554688, 18.475553512573242, 18.41455078125, 18.392786026000977, 17.544240951538086, 17.191112518310547, 16.86781120300293, 16.87630271911621, 17.10723876953125, 17.590042114257812, 17.864032745361328, 17.956342697143555, 18.188655853271484, 18.97003936767578, 19.143024444580078, 19.921375274658203, 19.246726989746094, 19.37966537475586, 17.834779739379883, 17.54812240600586, 17.146024703979492, 16.945831298828125, 16.958065032958984, 16.61963653564453, 16.493581771850586, 16.596263885498047, 17.057479858398438, 17.742101669311523, 17.937105178833008, 17.988582611083984, 17.431900024414062]"
chronos2,T36870A,671,2025-01-01 00:11:11,48,11,29,18.0,0,7.576694488525391,7.576694488525391,9.273206937274278,-1.6965124487488872,19,29,0.6551724137931034,"[5.4959716796875, 5.462915897369385, 5.431112289428711, 5.408456802368164, 5.372615337371826, 5.349454402923584, 5.315129280090332, 5.293206691741943, 5.275137901306152, 5.208075523376465, 5.1375908851623535, 5.056090354919434, 4.985447883605957, 4.923884868621826, 4.861445426940918, 4.849936485290527, 4.824204921722412, 4.822792053222656, 4.890147686004639, 4.938838958740234, 4.963336944580078, 4.965680122375488, 4.971480369567871, 4.97514009475708, 4.9601874351501465, 4.981639862060547, 4.975484371185303, 4.993102073669434, 5.016712665557861, 5.019196510314941, 5.025420665740967, 5.03902006149292, 5.020779609680176, 4.964083194732666, 4.931061744689941, 4.8819427490234375, 4.8241119384765625, 4.808404445648193, 4.790099143981934, 4.779160499572754, 4.808268070220947, 4.8398637771606445, 4.9085235595703125, 4.980738639831543, 5.0271711349487305, 5.0328264236450195, 5.031109809875488, 5.048181056976318]","[6.357720851898193, 6.658397197723389, 6.895880222320557, 7.029336929321289, 7.073086261749268, 7.223635673522949, 7.320225238800049, 7.4148101806640625, 7.4727630615234375, 7.576694488525391, 7.505878448486328, 7.479339599609375, 7.473051071166992, 7.344886779785156, 7.368122100830078, 7.344094753265381, 7.540614128112793, 7.517361640930176, 7.635327339172363, 7.717266082763672, 7.757172107696533, 7.765566825866699, 7.708844184875488, 7.723630905151367, 7.730259895324707, 7.723219394683838, 7.67430305480957, 7.650107383728027, 7.7611799240112305, 7.733311176300049, 7.795688629150391, 7.781576156616211, 7.870154857635498, 7.896312713623047, 7.848464012145996, 7.790914058685303, 7.612164497375488, 7.602528095245361, 7.722782135009766, 7.666513442993164, 7.702624320983887, 7.792328834533691, 7.769231796264648, 7.773281574249268, 7.938807487487793, 7.948620796203613, 8.000717163085938, 7.98538875579834]"
chronos2,T36870A,586,2025-01-01 00:09:46,48,10,38,28.0,0,6.970257759094238,6.970257759094238,5.460809702450868,1.50944805664337,38,38,1.0,"[5.140517234802246, 5.1901092529296875, 5.208972930908203, 5.2636847496032715, 5.287978649139404, 5.308094501495361, 5.315385818481445, 5.34496545791626, 5.34555196762085, 5.351685047149658, 5.346703052520752, 5.346394062042236, 5.3507609367370605, 5.318970680236816, 5.328718662261963, 5.328357219696045, 5.310339450836182, 5.316426753997803, 5.323994159698486, 5.306254863739014, 5.335448265075684, 5.339756011962891, 5.336315155029297, 5.355584144592285, 5.359281063079834, 5.36824893951416, 5.373870849609375, 5.3782429695129395, 5.405111789703369, 5.406886100769043, 5.403511047363281, 5.4071526527404785, 5.369853973388672, 5.406233310699463, 5.431392192840576, 5.440369606018066, 5.486321926116943, 5.497296333312988, 5.518898010253906, 5.527839660644531, 5.528286933898926, 5.508369445800781, 5.506709575653076, 5.483952522277832, 5.477535724639893, 5.47115421295166, 5.450308799743652, 5.4618072509765625]","[5.692651748657227, 5.918406009674072, 6.148733139038086, 6.371326446533203, 6.5277910232543945, 6.650915145874023, 6.772129058837891, 6.867770195007324, 6.919914245605469, 6.970257759094238, 7.009744167327881, 7.071708679199219, 7.135599613189697, 7.197032928466797, 7.212084770202637, 7.261812210083008, 7.410815238952637, 7.415719985961914, 7.453845977783203, 7.537169456481934, 7.501953125, 7.627918243408203, 7.686830043792725, 7.736006736755371, 7.729228973388672, 7.811505317687988, 7.834501266479492, 7.858467102050781, 7.88438606262207, 7.969013214111328, 8.007107734680176, 8.033001899719238, 8.384472846984863, 8.393067359924316, 8.452764511108398, 8.480165481567383, 8.489033699035645, 8.616812705993652, 8.656217575073242, 8.736961364746094, 8.691566467285156, 8.754157066345215, 8.762541770935059, 8.730851173400879, 8.728761672973633, 8.808724403381348, 8.906356811523438, 8.894911766052246]"
