model,series,start_index,start_timestamp,horizon,tau_pred,tau_true,cp_abs_error,tolerance_hit,safe_ceiling,bound_95,actual_interval_max,sharpness,coverage_hits,coverage_count,coverage_window,y_pred_median,y_pred_95
chronos2,T36870A,582,2025-01-01 00:09:42,48,14,48,34.0,0,6.936266899108887,6.936266899108887,5.460809702450868,1.4754571966580183,48,48,1.0,"[4.902408599853516, 4.881380081176758, 4.870041847229004, 4.861265182495117, 4.850796699523926, 4.847306251525879, 4.845095157623291, 4.843488693237305, 4.855621814727783, 4.853673458099365, 4.849215030670166, 4.858332633972168, 4.864562511444092, 4.869406223297119, 4.879924774169922, 4.883100509643555, 4.872795104980469, 4.883630752563477, 4.905548095703125, 4.903590202331543, 4.89404296875, 4.888331890106201, 4.892989635467529, 4.884126663208008, 4.881640911102295, 4.870919704437256, 4.870572566986084, 4.8752121925354, 4.878922939300537, 4.87729549407959, 4.888557434082031, 4.889472961425781, 4.877496719360352, 4.87599515914917, 4.896065711975098, 4.900224685668945, 4.892155170440674, 4.90005350112915, 4.904681205749512, 4.914732933044434, 4.908697128295898, 4.891584396362305, 4.897330284118652, 4.893751621246338, 4.897593975067139, 4.887808799743652, 4.893757343292236, 4.866143226623535]","[5.518346786499023, 5.775540828704834, 5.990014553070068, 6.157247066497803, 6.27998161315918, 6.402365684509277, 6.4941840171813965, 6.560479164123535, 6.640254974365234, 6.723697662353516, 6.775320053100586, 6.829366683959961, 6.914163589477539, 6.936266899108887, 7.05145263671875, 7.096764087677002, 7.320176124572754, 7.375828742980957, 7.376133441925049, 7.359025001525879, 7.419736385345459, 7.450254440307617, 7.476140975952148, 7.4651994705200195, 7.483972072601318, 7.545269966125488, 7.595060348510742, 7.5828537940979, 7.630400657653809, 7.648784637451172, 7.683457374572754, 7.695011138916016, 7.840375900268555, 7.892171859741211, 7.897161483764648, 7.856008529663086, 7.958191871643066, 8.014952659606934, 8.041898727416992, 8.01352310180664, 8.050405502319336, 8.118404388427734, 8.147411346435547, 8.172141075134277, 8.186538696289062, 8.231620788574219, 8.246936798095703, 8.241408348083496]"
chronos2,T36870A,1124,2025-01-01 00:18:44,48,30,27,3.0,1,33.038387298583984,33.038387298583984,25.723068996895066,7.315318301688919,27,27,1.0,"[23.422222137451172, 22.904743194580078, 23.18327522277832, 22.148221969604492, 21.819520950317383, 21.420528411865234, 21.582536697387695, 21.385591506958008, 21.8193359375, 22.18948745727539, 22.58948516845703, 23.439361572265625, 24.160602569580078, 24.305007934570312, 24.844532012939453, 24.8955078125, 24.38365936279297, 23.57232666015625, 23.661481857299805, 22.979902267456055, 22.85967254638672, 21.88311004638672, 21.965293884277344, 20.992507934570312, 22.369234085083008, 22.729122161865234, 22.825119018554688, 23.58458709716797, 23.8897705078125, 24.27407455444336, 25.135713577270508, 25.588834762573242, 26.355915069580078, 25.694316864013672, 25.997169494628906, 25.577880859375, 25.490697860717773, 25.237030029296875, 25.625900268554688, 25.442441940307617, 25.74486541748047, 25.921730041503906, 26.30390167236328, 26.62055206298828, 27.249053955078125, 26.80862045288086, 27.579410552978516, 27.753276824951172]","[25.59344482421875, 25.462736129760742, 26.238910675048828, 25.71253204345703, 25.962108612060547, 25.757701873779297, 25.991153717041016, 26.10634994506836, 27.0037784576416, 27.276336669921875, 27.98550796508789, 28.96253204345703, 29.74321746826172, 30.12458610534668, 30.746362686157227, 30.829288482666016, 30.425012588500977, 30.09441375732422, 30.534637451171875, 30.62567138671875, 30.58594512939453, 30.444438934326172, 30.727495193481445, 29.644405364990234, 31.199493408203125, 31.18613624572754, 31.742197036743164, 32.298004150390625, 32.80193328857422, 33.038387298583984, 34.076087951660156, 34.452518463134766, 37.316165924072266, 37.056236267089844, 37.34003448486328, 37.16604232788086, 37.22838592529297, 37.62647247314453, 37.927982330322266, 38.066287994384766, 38.46442794799805, 38.52210235595703, 39.0820426940918, 39.123291015625, 39.75746536254883, 39.972660064697266, 40.51696014404297, 40.722434997558594]"
chronos2,T36870A,1030,2025-01-01 00:17:10,48,17,37,20.0,0,19.08930778503418,19.08930778503418,16.70977509920546,2.379532685828721,37,37,1.0,"[15.56702995300293, 15.568142890930176, 15.544525146484375, 15.545258522033691, 15.505392074584961, 15.47513198852539, 15.423349380493164, 15.373980522155762, 15.312586784362793, 15.222213745117188, 15.109945297241211, 15.053705215454102, 15.032854080200195, 15.02271556854248, 15.029333114624023, 15.080612182617188, 15.185044288635254, 15.278998374938965, 15.341957092285156, 15.36458683013916, 15.384836196899414, 15.400821685791016, 15.399022102355957, 15.40351676940918, 15.404983520507812, 15.39892292022705, 15.369488716125488, 15.348587036132812, 15.326315879821777, 15.316169738769531, 15.276533126831055, 15.279314994812012, 15.210395812988281, 15.186222076416016, 15.141594886779785, 15.151705741882324, 15.127225875854492, 15.12995719909668, 15.136935234069824, 15.150640487670898, 15.180183410644531, 15.200324058532715, 15.19415283203125, 15.200004577636719, 15.187329292297363, 15.210184097290039, 15.181288719177246, 15.184134483337402]","[16.97833251953125, 17.591251373291016, 18.02179527282715, 18.28304672241211, 18.528528213500977, 18.67240333557129, 18.689990997314453, 18.734506607055664, 18.77907943725586, 18.663999557495117, 18.591938018798828, 18.582712173461914, 18.604291915893555, 18.698162078857422, 18.59972381591797, 18.72614288330078, 19.08930778503418, 19.237058639526367, 19.304113388061523, 19.33010482788086, 19.30213165283203, 19.370437622070312, 19.36373519897461, 19.427928924560547, 19.508441925048828, 19.571395874023438, 19.66143798828125, 19.676795959472656, 19.724206924438477, 19.803268432617188, 19.619577407836914, 19.612619400024414, 19.641061782836914, 19.66545867919922, 19.68808364868164, 19.653648376464844, 19.583738327026367, 19.644939422607422, 19.67530632019043, 19.695819854736328, 19.796586990356445, 19.828876495361328, 19.90489387512207, 19.85732650756836, 19.863357543945312, 19.84326171875, 19.756244659423828, 19.810279846191406]"
chronos2,T36870A,859,2025-01-01 00:14:19,48,10,12,2.0,1,20.77385711669922,20.77385711669922,21.65647303559965,-0.8826159189004308,10,12,0.8333333333333334,"[16.581745147705078, 16.339065551757812, 16.205379486083984, 16.12910270690918, 16.031204223632812, 15.94747257232666, 15.812795639038086, 15.741004943847656, 15.601760864257812, 15.488462448120117, 15.407633781433105, 15.429539680480957, 15.378129959106445, 15.254190444946289, 15.271324157714844, 15.361349105834961, 14.966964721679688, 14.99429702758789, 14.99755859375, 15.04883098602295, 14.861343383789062, 14.860466003417969, 14.789043426513672, 14.694489479064941, 14.632129669189453, 14.593602180480957, 14.512161254882812, 14.571534156799316, 14.612894058227539, 14.741876602172852, 14.749226570129395, 14.798381805419922, 14.845897674560547, 14.814754486083984, 14.836691856384277, 14.858165740966797, 14.704071044921875, 14.596372604370117, 14.420775413513184, 14.3170804977417, 14.234886169433594, 14.1787109375, 14.244800567626953, 14.231366157531738, 14.247819900512695, 14.334681510925293, 14.261451721191406, 14.299249649047852]","[18.797380447387695, 19.07935333251953, 19.459186553955078, 19.86710548400879, 19.923736572265625, 20.17630386352539, 20.357872009277344, 20.607206344604492, 20.602664947509766, 20.77385711669922, 20.949172973632812, 21.046310424804688, 21.268098831176758, 21.292545318603516, 21.245601654052734, 21.275653839111328, 21.59712028503418, 21.779563903808594, 21.897445678710938, 22.05167007446289, 22.20341682434082, 22.30298614501953, 22.507509231567383, 22.522377014160156, 22.348445892333984, 22.518211364746094, 22.670413970947266, 22.783058166503906, 22.94228744506836, 22.976390838623047, 23.13629150390625, 23.025558471679688, 23.145347595214844, 23.261730194091797, 23.1209659576416, 23.14187240600586, 23.126102447509766, 23.292259216308594, 23.568553924560547, 23.400550842285156, 23.2506046295166, 23.43105697631836, 23.53105354309082, 23.677078247070312, 23.908872604370117, 23.844730377197266, 23.906219482421875, 23.885774612426758]"
chronos2,T36870A,854,2025-01-01 00:14:14,48,14,18,4.0,0,20.088886260986328,20.088886260986328,21.65647303559965,-1.5675867746133214,13,18,0.7222222222222222,"[13.516739845275879, 13.669699668884277, 13.692566871643066, 13.779248237609863, 13.821338653564453, 13.867328643798828, 13.853384971618652, 13.86290168762207, 13.808591842651367, 13.770425796508789, 13.648178100585938, 13.616622924804688, 13.580971717834473, 13.477720260620117, 13.34018325805664, 13.309514045715332, 13.279661178588867, 13.177106857299805, 13.181591987609863, 13.111513137817383, 13.075603485107422, 12.984169006347656, 12.804738998413086, 12.867393493652344, 12.82562255859375, 12.740385055541992, 12.829195022583008, 12.708259582519531, 12.661346435546875, 12.60393238067627, 12.42782974243164, 12.287406921386719, 12.011062622070312, 12.15282154083252, 12.3302583694458, 12.38144588470459, 12.512990951538086, 12.433588027954102, 12.36522102355957, 12.61322021484375, 12.531473159790039, 12.40241813659668, 12.50637149810791, 12.474271774291992, 12.419567108154297, 12.368000030517578, 12.258411407470703, 12.117671012878418]","[15.52487564086914, 16.27940559387207, 16.995250701904297, 17.657527923583984, 18.28271484375, 18.603134155273438, 18.90914535522461, 19.22502899169922, 19.34723663330078, 19.493144989013672, 19.60622787475586, 19.767126083374023, 19.90017318725586, 20.088886260986328, 19.996593475341797, 20.00870704650879, 19.5975284576416, 19.624135971069336, 19.667984008789062, 20.09320831298828, 19.940946578979492, 20.155881881713867, 20.45050811767578, 20.459270477294922, 20.38051986694336, 20.72673797607422, 20.856765747070312, 21.152589797973633, 21.264745712280273, 21.136137008666992, 21.248546600341797, 21.210716247558594, 21.121097564697266, 21.011886596679688, 21.145511627197266, 21.262405395507812, 21.1547794342041, 21.862377166748047, 21.940814971923828, 21.73086166381836, 21.76079559326172, 21.967533111572266, 21.980052947998047, 22.182836532592773, 22.194215774536133, 22.057785034179688, 22.108646392822266, 22.08314323425293]"
chronos2,T36870A,1192,2025-01-01 00:19:52,48,13,12,1.0,1,23.615535736083984,23.615535736083984,19.13643853907933,4.479097197004656,12,12,1.0,"[17.444250106811523, 17.4604434967041, 17.58005142211914, 17.63018798828125, 17.666595458984375, 17.704500198364258, 17.724628448486328, 17.69728660583496, 17.689027786254883, 17.675155639648438, 17.57479476928711, 17.49869155883789, 17.470046997070312, 17.36733627319336, 17.348209381103516, 17.304502487182617, 17.224672317504883, 17.125898361206055, 17.15101432800293, 17.177661895751953, 17.26912498474121, 17.32513427734375, 17.41832733154297, 17.510364532470703, 17.574541091918945, 17.665374755859375, 17.702350616455078, 17.655099868774414, 17.635848999023438, 17.56084632873535, 17.496044158935547, 17.41692543029785, 17.235013961791992, 17.12919044494629, 17.07749366760254, 17.063926696777344, 17.060596466064453, 17.04228401184082, 17.042526245117188, 17.046979904174805, 17.00429916381836, 17.027759552001953, 17.032716751098633, 17.02298927307129, 17.04549217224121, 16.98427963256836, 16.99367332458496, 16.966644287109375]","[19.109407424926758, 20.005348205566406, 20.807968139648438, 21.43829917907715, 22.01100730895996, 22.319561004638672, 22.618915557861328, 22.881954193115234, 23.047096252441406, 23.11585235595703, 23.310083389282227, 23.51325225830078, 23.615535736083984, 23.818767547607422, 23.667560577392578, 23.83988380432129, 23.81075096130371, 24.10825538635254, 24.48369026184082, 24.68636131286621, 24.746505737304688, 25.165863037109375, 25.435285568237305, 25.647296905517578, 25.989831924438477, 26.156147003173828, 26.210561752319336, 26.340991973876953, 26.523122787475586, 26.659496307373047, 26.292709350585938, 26.265430450439453, 26.153545379638672, 26.38482093811035, 26.491901397705078, 26.589805603027344, 26.28003692626953, 26.686397552490234, 26.713699340820312, 26.649242401123047, 26.838329315185547, 26.867151260375977, 27.091537475585938, 27.13058090209961, 27.401309967041016, 27.416542053222656, 27.074703216552734, 27.160587310791016]"
chronos2,T36870A,580,2025-01-01 00:09:40,48,10,48,38.0,0,7.084946632385254,7.084946632385254,5.701690422940944,1.3832562094443102,48,48,1.0,"[5.556339740753174, 5.526583671569824, 5.509702205657959, 5.479434967041016, 5.442996978759766, 5.439666748046875, 5.397210121154785, 5.399433135986328, 5.395668983459473, 5.396394729614258, 5.387033462524414, 5.37664794921875, 5.375821113586426, 5.359079360961914, 5.364560127258301, 5.374093055725098, 5.360512733459473, 5.3516998291015625, 5.364072799682617, 5.337867736816406, 5.356417179107666, 5.3421854972839355, 5.3247857093811035, 5.322813987731934, 5.310174942016602, 5.280600070953369, 5.273248672485352, 5.2523651123046875, 5.246514320373535, 5.230949401855469, 5.236907958984375, 5.2384724617004395, 5.2487568855285645, 5.243717670440674, 5.256495952606201, 5.247088432312012, 5.240912437438965, 5.253446578979492, 5.260410308837891, 5.277047634124756, 5.2840352058410645, 5.270269870758057, 5.292160987854004, 5.2854108810424805, 5.292724609375, 5.297585487365723, 5.295594215393066, 5.28890323638916]","[6.106973171234131, 6.3301310539245605, 6.5068535804748535, 6.68721866607666, 6.749205589294434, 6.832878589630127, 6.944856643676758, 7.008622646331787, 7.006039619445801, 7.084946632385254, 7.120657920837402, 7.166077613830566, 7.257749557495117, 7.275733470916748, 7.367679595947266, 7.357045650482178, 7.670163154602051, 7.706700325012207, 7.6819257736206055, 7.6955060958862305, 7.708483695983887, 7.7250165939331055, 7.765105247497559, 7.776432991027832, 7.723554611206055, 7.785673141479492, 7.8041534423828125, 7.813604831695557, 7.844844818115234, 7.824955463409424, 7.875570297241211, 7.880509376525879, 8.338092803955078, 8.316478729248047, 8.38886833190918, 8.350849151611328, 8.43407154083252, 8.490753173828125, 8.555426597595215, 8.567814826965332, 8.597505569458008, 8.680989265441895, 8.683523178100586, 8.696904182434082, 8.70472240447998, 8.780143737792969, 8.801580429077148, 8.821074485778809]"
chronos2,T36870A,1064,2025-01-01 00:17:44,48,10,19,9.0,0,17.18999481201172,17.18999481201172,19.44948902004157,-2.259494208029853,5,19,0.2631578947368421,"[12.431796073913574, 12.676875114440918, 12.944021224975586, 13.19096565246582, 13.384631156921387, 13.453893661499023, 13.608820915222168, 13.607421875, 13.685063362121582, 13.71944522857666, 13.77280044555664, 13.769635200500488, 13.8251371383667, 13.818998336791992, 13.85883617401123, 13.885981559753418, 13.961504936218262, 13.949275970458984, 13.91254711151123, 13.849417686462402, 13.809563636779785, 13.723959922790527, 13.726594924926758, 13.680533409118652, 13.70539379119873, 13.741943359375, 13.813222885131836, 13.889586448669434, 14.003743171691895, 14.082509994506836, 14.154736518859863, 14.207378387451172, 14.370826721191406, 14.353631973266602, 14.32408332824707, 14.295411109924316, 14.262527465820312, 14.217918395996094, 14.221717834472656, 14.210792541503906, 14.180953025817871, 14.182817459106445, 14.210101127624512, 14.233592987060547, 14.286494255065918, 14.307612419128418, 14.333117485046387, 14.326982498168945]","[13.947612762451172, 14.7199068069458, 15.514337539672852, 16.159500122070312, 16.48423957824707, 16.66937255859375, 16.88145637512207, 16.958707809448242, 17.17060089111328, 17.18999481201172, 17.375614166259766, 17.45887565612793, 17.53082847595215, 17.547836303710938, 17.605850219726562, 17.67160415649414, 17.807085037231445, 17.896278381347656, 17.92905044555664, 17.86043357849121, 17.74761390686035, 17.742481231689453, 17.71475601196289, 17.69951629638672, 17.76122283935547, 17.759998321533203, 17.908084869384766, 18.035913467407227, 18.13034439086914, 18.232969284057617, 18.20604133605957, 18.240127563476562, 18.3645076751709, 18.401025772094727, 18.33109474182129, 18.349977493286133, 18.242496490478516, 18.288785934448242, 18.30012321472168, 18.23461151123047, 18.280715942382812, 18.265127182006836, 18.38287925720215, 18.41010093688965, 18.512874603271484, 18.55669593811035, 18.474828720092773, 18.498340606689453]"
chronos2,T36870A,671,2025-01-01 00:11:11,48,15,29,14.0,0,6.9759063720703125,6.9759063720703125,9.273206937274278,-2.2973005652039653,15,29,0.5172413793103449,"[5.511830806732178, 5.457901477813721, 5.423456192016602, 5.375886917114258, 5.312335014343262, 5.250713348388672, 5.171057224273682, 5.111459255218506, 5.059483528137207, 4.992069721221924, 4.903698444366455, 4.814597129821777, 4.742257118225098, 4.664273738861084, 4.602640151977539, 4.574113845825195, 4.557682037353516, 4.536816596984863, 4.532074451446533, 4.5256500244140625, 4.513887882232666, 4.506351470947266, 4.513796329498291, 4.515632629394531, 4.517380714416504, 4.536325454711914, 4.536316394805908, 4.534968852996826, 4.5491414070129395, 4.545953750610352, 4.548803329467773, 4.549326419830322, 4.532835960388184, 4.535211563110352, 4.525620460510254, 4.505386829376221, 4.4947662353515625, 4.495767116546631, 4.5038018226623535, 4.514764785766602, 4.516110420227051, 4.533520698547363, 4.549112319946289, 4.572582721710205, 4.613771915435791, 4.630349636077881, 4.654776096343994, 4.6927690505981445]","[6.217414379119873, 6.4988203048706055, 6.660316467285156, 6.767457008361816, 6.773764133453369, 6.842034816741943, 6.876777648925781, 6.909206390380859, 6.944567680358887, 6.96945858001709, 6.9759063720703125, 6.940445423126221, 6.87503719329834, 6.848938941955566, 6.780822277069092, 6.793237209320068, 6.840609073638916, 6.814297676086426, 6.940654277801514, 6.917963027954102, 6.869022369384766, 6.875988483428955, 6.869645118713379, 6.866915702819824, 6.891567230224609, 6.867890357971191, 6.918841361999512, 6.938531398773193, 6.923350811004639, 6.945182800292969, 6.898286819458008, 6.937864780426025, 6.828455924987793, 6.852231979370117, 6.93964958190918, 6.8945841789245605, 6.813467979431152, 6.867659568786621, 6.8789591789245605, 6.960124969482422, 7.027853012084961, 7.0269622802734375, 7.138182640075684, 7.216590881347656, 7.303802490234375, 7.349404335021973, 7.396594047546387, 7.467785835266113]"
chronos2,T36870A,586,2025-01-01 00:09:46,48,13,38,25.0,0,7.171093940734863,7.171093940734863,5.460809702450868,1.710284238283995,38,38,1.0,"[5.1213908195495605, 5.1301798820495605, 5.125826835632324, 5.138824462890625, 5.1256890296936035, 5.132133960723877, 5.114684104919434, 5.12338924407959, 5.125243663787842, 5.110044002532959, 5.104642391204834, 5.102276802062988, 5.093845844268799, 5.069324970245361, 5.07662296295166, 5.070221424102783, 5.049112796783447, 5.047928810119629, 5.05897331237793, 5.049603462219238, 5.0520758628845215, 5.054303169250488, 5.054436683654785, 5.059992790222168, 5.066296577453613, 5.060951232910156, 5.060324668884277, 5.063135147094727, 5.060551643371582, 5.049975872039795, 5.05781364440918, 5.059271335601807, 5.045495986938477, 5.040904521942139, 5.054008960723877, 5.048105716705322, 5.039395332336426, 5.049487113952637, 5.053616523742676, 5.071043968200684, 5.065438270568848, 5.045252323150635, 5.051114559173584, 5.039743900299072, 5.0399169921875, 5.026388645172119, 5.037595272064209, 5.035039901733398]","[5.654167175292969, 5.889333248138428, 6.1350789070129395, 6.348252296447754, 6.495609283447266, 6.605010032653809, 6.730637550354004, 6.820534706115723, 6.8920369148254395, 6.986422538757324, 7.037060737609863, 7.065974712371826, 7.171093940734863, 7.21898078918457, 7.353533744812012, 7.429239273071289, 7.520378112792969, 7.493472099304199, 7.557343482971191, 7.564386367797852, 7.633642196655273, 7.6962738037109375, 7.759354591369629, 7.7812066078186035, 7.807254791259766, 7.897425651550293, 7.953411102294922, 7.9388556480407715, 7.964232444763184, 8.048640251159668, 8.095237731933594, 8.140251159667969, 8.299116134643555, 8.292845726013184, 8.353550910949707, 8.313615798950195, 8.473081588745117, 8.534158706665039, 8.574302673339844, 8.544611930847168, 8.55276107788086, 8.610077857971191, 8.705846786499023, 8.714217185974121, 8.702339172363281, 8.756237983703613, 8.86707878112793, 8.863868713378906]"
