model,dataset_path,cp_model,cp_penalty,cp_min_size,cp_jump,num_windows_total,MAE_CP,tolerance,tolerance_hit_rate,coverage_rate,sharpness,tau_pred_horizon_rate,tau_true_horizon_rate,baseline_MAE_CP,baseline_tolerance_hit_rate,baseline_coverage_rate,baseline_sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap,selection_rule
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,6.149767441860465,3,0.4672093023255814,0.9563617070663527,3.5815183271021658,0.009534883720930233,0.013953488372093023,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,-4.434418604651162,0.15534883720930232,0.00035707238805393615,-0.1887364784429617,0.006361707066352751,best_mae_cp
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,6.149767441860465,3,0.4672093023255814,0.9563617070663527,3.5815183271021658,0.009534883720930233,0.013953488372093023,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,-4.434418604651162,0.15534883720930232,0.00035707238805393615,-0.1887364784429617,0.006361707066352751,best_tolerance_hit_rate
chronos2,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,20.0,8,1,4300,13.936976744186046,3,0.2532558139534884,0.9518153457085704,3.799206726272661,0.09279069767441861,0.15046511627906978,10.584186046511627,0.3118604651162791,0.9560046346782988,3.7702548055451275,3.3527906976744184,-0.05860465116279068,-0.004189288969728366,0.028951920727533498,0.0018153457085704483,closest_coverage_to_0.95
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,5.866976744186046,3,0.502093023255814,0.9474085618596014,2.2294281456675473,0.0009302325581395349,0.013953488372093023,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-4.018837209302325,0.12441860465116278,0.0013434946113280999,0.1864974630102374,0.0025914381403985276,best_mae_cp
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,5.866976744186046,3,0.502093023255814,0.9474085618596014,2.2294281456675473,0.0009302325581395349,0.013953488372093023,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-4.018837209302325,0.12441860465116278,0.0013434946113280999,0.1864974630102374,0.0025914381403985276,best_tolerance_hit_rate
deepar,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,10,1,4300,6.2774418604651165,3,0.4913953488372093,0.9487111347329259,2.241703524526704,0.0011627906976744186,0.02395348837209302,9.885813953488372,0.3776744186046512,0.9460650672482733,2.04293068265731,-3.608372093023255,0.11372093023255814,0.00264606748465257,0.19877284186939415,0.0012888652670740575,closest_coverage_to_0.95
lstm,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,6.347441860465116,3,0.49465116279069765,0.9769871008389429,4.200704008999706,0.004186046511627907,0.013953488372093023,10.188837209302326,0.33325581395348836,0.9769174845510723,3.896780927603674,-3.84139534883721,0.1613953488372093,6.96162878706108e-05,0.30392308139603186,0.026987100838942957,best_mae_cp
lstm,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,8,1,4300,6.347441860465116,3,0.49465116279069765,0.9769871008389429,4.200704008999706,0.004186046511627907,0.013953488372093023,10.188837209302326,0.33325581395348836,0.9769174845510723,3.896780927603674,-3.84139534883721,0.1613953488372093,6.96162878706108e-05,0.30392308139603186,0.026987100838942957,best_tolerance_hit_rate
lstm,/Users/colinminini/Desktop/SCOC_ICE/LLM6G-Repository/data/data_1to7.csv,normal,10.0,10,1,4300,6.813023255813953,3,0.4418604651162791,0.9756493279438299,4.041803174180591,0.004651162790697674,0.02395348837209302,10.188837209302326,0.33325581395348836,0.9769174845510723,3.896780927603674,-3.3758139534883727,0.10860465116279072,-0.0012681566072424433,0.14502224657691665,0.025649327943829903,closest_coverage_to_0.95
