secteur,timestamp,psi_instant
T36870A,2025-01-01 00:00:00,0.0
T36870A,2025-01-01 00:00:01,0.0
T36870A,2025-01-01 00:00:02,0.1234741545901441
T36870A,2025-01-01 00:00:03,0.12053596026269939
T36870A,2025-01-01 00:00:04,0.14185273029907686
T36870A,2025-01-01 00:00:05,0.0
T36870A,2025-01-01 00:00:06,0.1277717987515135
T36870A,2025-01-01 00:05:00,0.028884322703043006
T36870A,2025-01-01 00:05:01,0.0
T36870A,2025-01-01 00:05:02,0.02801441432582956
T36870A,2025-01-01 00:05:03,0.02749009479912755
T36870A,2025-01-01 00:05:04,0.0
T36870A,2025-01-01 00:05:05,0.0
T36870A,2025-01-01 00:05:06,0.03368136817866372
T36870A,2025-01-01 00:10:00,0.02676685981540123
T36870A,2025-01-01 00:10:01,0.0272646818373545
T36870A,2025-01-01 00:10:02,0.0
T36870A,2025-01-01 00:10:03,0.028769609863244353
T36870A,2025-01-01 00:10:04,0.0
T36870A,2025-01-01 00:10:05,0.029046751330107187
T36870A,2025-01-01 00:10:06,0.028133378503278714
T36870A,2025-01-01 00:15:00,0.046910821815613665
T36870A,2025-01-01 00:15:01,0.04741707737753143
T36870A,2025-01-01 00:15:02,0.04418263799476378
T36870A,2025-01-01 00:15:03,0.03870936736161816
T36870A,2025-01-01 00:15:04,0.0
T36870A,2025-01-01 00:15:05,0.04079908552595852
T36870A,2025-01-01 00:15:06,0.042815830110996975
T36870A,2025-01-01 00:20:00,0.023808105667265406
T36870A,2025-01-01 00:20:01,0.028553355594304594
T36870A,2025-01-01 00:20:02,0.022176974316812738
T36870A,2025-01-01 00:20:03,0.0
T36870A,2025-01-01 00:20:04,0.02292340098589887
T36870A,2025-01-01 00:20:05,0.02244957988171914
T36870A,2025-01-01 00:20:06,0.0
T36870A,2025-01-01 00:25:00,0.0
T36870A,2025-01-01 00:25:01,0.05656735704713838
T36870A,2025-01-01 00:25:02,0.0
T36870A,2025-01-01 00:25:03,0.046660953886085384
T36870A,2025-01-01 00:25:04,0.053329225869924224
T36870A,2025-01-01 00:25:05,0.05458725161524505
T36870A,2025-01-01 00:25:06,0.05013878602923966
T36870A,2025-01-01 00:30:00,0.31693495902830293
T36870A,2025-01-01 00:30:01,0.2888997992757978
T36870A,2025-01-01 00:30:02,0.2847957833214809
T36870A,2025-01-01 00:30:03,0.0
T36870A,2025-01-01 00:30:04,0.3003057251228636
T36870A,2025-01-01 00:30:05,0.0
T36870A,2025-01-01 00:30:06,0.29038248335807926
T36870A,2025-01-01 00:35:00,0.9480726523278646
T36870A,2025-01-01 00:35:01,0.9603296325028802
T36870A,2025-01-01 00:35:02,0.9281742415719351
T36870A,2025-01-01 00:35:03,0.8390905551668334
