model,split,forecast_windows_path,cp_detector,cp_min_size,cp_period_length,cp_exclusion_radius,cp_score_threshold,cp_model,cp_penalty,cp_jump,num_windows_total,MAE_CP,tau_mae_when_both_break,tolerance,tolerance_hit_rate,tolerance_hit_rate_when_both_break,break_precision,break_recall,break_f1,coverage_rate,sharpness,coverage_gap
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,16,0.05,0.75,normal,10.0,1,10000,6.9063,6.870980667134128,3,0.4712,0.4720024040869478,0.9986994797919168,0.9995994793231201,0.9991492768853526,0.9222033725468384,1.6597935134698374,0.027796627453161582
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.5,normal,10.0,1,10000,13.8504,13.8504,3,0.404,0.404,1.0,1.0,1.0,0.9186062203668883,2.1466199460869837,0.03139377963311163
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.6,normal,10.0,1,10000,13.8504,13.8504,3,0.404,0.404,1.0,1.0,1.0,0.9186062203668883,2.1466199460869837,0.03139377963311163
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.7,normal,10.0,1,10000,13.8552,13.850370074014803,3,0.4039,0.4039807961592318,0.9998,1.0,0.9998999899989999,0.918614796492017,2.1463655922109983,0.031385203507982906
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,8,0.05,0.75,normal,10.0,1,10000,14.0315,13.868285280728376,3,0.3977,0.40232675771370763,0.9934673366834171,0.9949672873678913,0.9942167462911743,0.9156447119135184,2.1568446398536247,0.034355288086481583
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,auto,0.05,0.5,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,auto,0.05,0.6,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,auto,0.05,0.7,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,10,auto,0.05,0.75,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,16,0.05,0.5,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,16,0.05,0.6,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,16,0.05,0.7,normal,10.0,1,10000,6.8752,6.8752,3,0.4718,0.4718,1.0,1.0,1.0,0.9221652236484761,1.6674037306335947,0.02783477635152387
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,16,0.05,0.75,normal,10.0,1,10000,6.9063,6.870980667134128,3,0.4712,0.4720024040869478,0.9986994797919168,0.9995994793231201,0.9991492768853526,0.9222033725468384,1.6597935134698374,0.027796627453161582
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,8,0.05,0.5,normal,10.0,1,10000,11.7989,11.7989,3,0.3709,0.3709,1.0,1.0,1.0,0.9215583674246028,2.0265483371412616,0.028441632575397113
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,8,0.05,0.6,normal,10.0,1,10000,11.8689,11.803135363280072,3,0.3683,0.3701135564264898,0.997593984962406,0.9974939855653568,0.9975439827577566,0.9215176984277652,2.029181104550793,0.028482301572234747
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,8,0.05,0.7,normal,10.0,1,10000,13.3455,11.815022293357723,3,0.3216,0.3650394420944324,0.910292434176293,0.9596269884805266,0.9343089083529161,0.9173579663624163,1.7810516615787768,0.03264203363758367
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,8,0.05,0.75,normal,10.0,1,10000,16.0842,11.888869655530552,3,0.2454,0.33598753678379784,0.6924367733429222,0.8347059673457593,0.7569444444444445,0.9139775234507052,1.2603654396693862,0.0360224765492948
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,auto,0.05,0.5,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,auto,0.05,0.6,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,auto,0.05,0.7,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
chronos2,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/chronos2_forecast_windows.csv,clasp,12,auto,0.05,0.75,normal,10.0,1,10000,11.1644,11.1644,3,0.4105,0.4105,1.0,1.0,1.0,0.915058006959883,2.211363656799627,0.034941993040116914
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,16,0.05,0.5,normal,10.0,1,10000,6.078,6.078,3,0.5109,0.5109,1.0,1.0,1.0,0.8332629233304705,-4.258383904275559,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,16,0.05,0.6,normal,10.0,1,10000,6.078,6.078,3,0.5109,0.5109,1.0,1.0,1.0,0.8332629233304705,-4.258383904275559,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,16,0.05,0.7,normal,10.0,1,10000,6.0812,6.077615523104621,3,0.5108,0.5109021804360873,1.0,0.9998,0.9998999899989999,0.8332629233304705,-4.25835565224614,0.11673707666952948
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,16,0.05,0.75,normal,10.0,1,10000,6.1261,6.078203328654502,3,0.5094,0.5107278925205534,0.9986983078001401,0.9986983078001401,0.9986983078001401,0.8331757376866813,-4.267771982509949,0.11682426231331866
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,8,0.05,0.5,normal,10.0,1,10000,14.4135,14.4135,3,0.4972,0.4972,1.0,1.0,1.0,0.8212842060126235,-3.323635616178041,0.12871579398737643
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,8,0.05,0.6,normal,10.0,1,10000,14.4135,14.4135,3,0.4972,0.4972,1.0,1.0,1.0,0.8212842060126235,-3.323635616178041,0.12871579398737643
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,8,0.05,0.7,normal,10.0,1,10000,14.4135,14.4135,3,0.4972,0.4972,1.0,1.0,1.0,0.8212842060126235,-3.323635616178041,0.12871579398737643
deepar,train,results/experiments/data_tim_milan_10min_trainable_200_ctx144_h48/q50_q95_seed42/cp_sweep/train/train_forecast_cache/deepar_forecast_windows.csv,clasp,8,8,0.05,0.75,normal,10.0,1,10000,14.4135,14.4135,3,0.4972,0.4972,1.0,1.0,1.0,0.8212842060126235,-3.323635616178041,0.12871579398737643
