timestamp,T70721A,T70721B,T70721C,T70722A,T70722B,T70722C,T70724A,T70724B,T70724C,T70725A,T70725B,T70725C,T70730A,T70730B,T70730C,T70735A,T70735B,T70735C,T70737A,T70737B,T70737C,T70738A,T70738B,T70738C,T70743A,T70743B,T70743C,T70744A,T70744B,T70744C,T70745A,T70745B,T70745C,T70747A,T70747B,T70747C,T76995A,T76995B,T76995C,T77125A,T77125B,T77125C,T78256A,T78256B,T78256C,T78258A,T78258B,T78258C,T78259A,T78259B,T78259C,T78262A,T78262B,T78262C,T78264A,T78264B,T78264C,T78269A,T78269B,T78269C,T78270A,T78270B,T78270C,T78271A,T78271B,T78271C,T78273A,T78273B,T78273C,T78274A,T78274B,T78274C,T78279A,T78279B,T78279C,T78280A,T78280B,T78280C,T70731A,T70731B,T70731C,T36870A,T36870B,T70736A,T70736B,T70736C
lundi 13 janvier 2020,1.601258768,7.326072054,0.550423262,3.300184773,15.64633672,19.29804893,24.87903032,14.188565,11.0273791,14.85618303,25.44145935,23.06116578,31.08461424,26.30078126,14.60107153,16.65410524,12.89727504,16.9475201,12.46664979,13.79883061,12.23128026,19.93635409,7.205943688,20.21120115,0.849356726,10.9573995,9.645440684,45.68644142,23.67709281,8.166498449,11.49888523,16.35277959,5.243913598,3.06910296,1.510466926,31.89141272,20.9398276,2.133805988,11.84763476,7.928842458,3.536883979,25.9396194,20.82788182,40.77310833,29.6450023,8.372028557,47.54741727,30.78151028,19.23186413,19.04680617,7.8976409,25.17683987,16.71632348,36.65079267,1.169226896,2.102275492,4.774260682,30.64672515,25.40696811,8.547532776,13.70509626,8.831233876,14.94989688,36.0143247,32.39231085,52.95885647,8.530142415,32.4975657,44.95252453,27.48986369,4.544263797,9.191401103,3.01430942,1.333168155,2.095112304,1.33875098,5.185162308,9.628740833,3.88893056,15.28461512,14.55755941,4.266716824,0.769667966,6.060855012,12.3509443,20.62614161
lundi 20 janvier 2020,1.696091773,7.234134598,0.529893436,3.507302944,17.3645302,15.4825584,28.50951374,16.3892675,9.781597548,13.53377169,23.33893325,22.17552034,32.24453824,27.08635547,15.9400758,17.57275383,12.32606575,16.95617995,16.67246126,14.4169845,12.8272451,26.57683775,7.703406215,20.95758595,1.149448834,10.85775743,10.44114709,42.04489629,23.39756824,9.76940759,13.48328041,18.32973945,6.479556885,3.513982392,2.238198099,39.19629232,24.94242971,2.45717022,11.36389711,8.043377862,3.827086945,20.93461526,18.42325402,40.69218839,28.16183767,6.424784587,47.14524989,32.54969689,17.21123982,18.34426622,7.779267348,22.20379681,15.80295859,36.42711696,1.36421298,1.760644448,6.085766719,25.31114357,22.26560899,8.291479902,14.3258649,9.072434155,22.54166776,38.16512015,28.30953178,49.86174886,6.929953818,27.03652383,44.17655966,24.47675871,4.996444254,11.81952238,4.099252968,1.208288968,1.788727495,1.564484945,5.238353177,10.40248588,4.097885225,13.41299022,13.51157661,4.092853019,1.055481283,5.169851812,10.6988857,18.98105127
lundi 27 janvier 2020,1.857854615,7.75850285,0.568657818,3.025986269,16.62632951,17.45526688,30.57119396,14.04596661,9.769295721,17.44767396,25.22115443,21.87053659,34.90731232,27.25348313,16.33423389,17.63979194,10.99234333,22.96003931,17.56843423,15.56583103,11.25417594,26.02608742,9.483486403,19.96327738,1.181950425,10.03752569,10.83990517,46.24647611,21.99178222,9.816203046,13.7418301,16.91565038,6.247822251,3.012373442,1.446008982,42.49081493,20.88919981,2.493266697,8.836007637,9.237600674,4.255153271,24.05474282,23.36421022,44.08978717,30.01421537,7.155581549,50.76501764,32.71307807,18.85216574,17.79021874,8.59997846,22.4656194,14.18836145,35.08682196,3.197330516,3.883830304,13.87686778,26.34255838,22.96344126,8.971213132,13.81963973,8.386045203,19.68549344,38.23911816,28.78678489,48.52984878,9.582405446,24.07558788,40.94890403,23.42141929,3.876247605,10.13054167,2.919944147,1.321058513,2.308945815,1.406783416,6.92422178,12.15594595,6.679785378,14.53138507,14.90991933,4.267376737,0.995281176,5.20460186,16.46213748,22.07265421
lundi 3 février 2020,1.799357418,8.137389321,0.58005223,2.263168073,15.3143801,21.52020929,27.53640613,15.32168694,11.55795547,15.43552271,25.93421343,21.68650298,39.12178342,25.36131678,16.28579896,17.0366269,11.42536011,18.61846562,15.50016026,15.53411223,14.18318044,24.64008738,8.724618942,23.71744908,1.71623004,10.95563625,10.77965607,43.70730321,28.39220662,9.16074206,12.69758449,20.33667084,6.799732912,2.331504152,1.59881153,33.16821168,23.81978877,2.341152007,10.5302313,8.969345685,4.114724377,22.19897948,22.0513781,41.37233152,33.87935704,5.933691332,52.02195647,29.30359659,18.8874411,15.61459314,8.433966539,23.69702636,13.69718143,31.29548051,2.266830303,2.903868364,9.820878201,27.71113573,21.57140302,8.855633072,14.55347199,9.685469353,16.23853687,40.2490812,31.75243023,51.5116175,9.746465252,31.02755416,45.684803,27.73629258,4.107231381,8.504101774,4.245175608,1.490987393,1.372113585,1.417486317,11.59505863,10.60046213,7.261015367,13.87837249,16.14309989,5.960561383,0.883315326,5.092747627,14.40304174,27.58932291
lundi 10 février 2020,2.073248208,6.989533643,0.565493873,2.451387216,16.83724919,18.92552504,25.30348884,14.18319931,13.09807482,15.03079342,25.0738482,26.33329224,34.09629243,24.2673017,16.24880969,13.69948662,12.15405867,16.07772549,13.62105877,16.79818694,11.16203171,22.83799219,8.679325138,20.85336591,1.055910228,9.251259213,9.797374406,62.14923319,23.08853404,12.23444016,12.67490892,21.84971757,7.244334328,2.61145786,2.024136389,51.74762675,20.35819901,2.799952604,10.04783519,7.587654173,3.582372826,23.8084455,19.55413713,40.87239021,29.20814709,6.614763648,48.40126773,28.78040402,19.61320485,15.43288678,9.06748348,22.88434129,14.24663575,34.96245152,1.672959753,2.096129191,3.468504028,28.59089857,20.81448175,8.856235658,12.04296698,9.369633406,19.64694804,41.36312932,30.62566669,54.3491056,9.867676648,29.10258714,45.34884062,31.38874347,8.505816393,11.01345154,2.508321425,1.327771035,1.05839615,1.235459203,7.207488954,8.906437944,5.451052772,15.32928183,13.53713286,5.905680902,0.964346607,5.231452966,15.35678135,23.47381354
lundi 17 février 2020,2.341278449,7.161375766,0.544829041,2.640561358,16.13126589,18.40263561,20.90689965,10.39561855,14.06783651,13.74391008,25.25882988,24.94836362,31.51378976,29.00384114,15.87438445,16.00931398,10.83743005,15.01610089,14.71546648,15.80340865,8.178297832,22.87157644,5.424943965,15.75050897,0.754431016,10.4078756,10.52379488,50.50542586,22.46957773,11.0628722,12.37038876,18.22232096,6.3021591,3.837003306,1.830925353,43.14018186,17.88541121,2.505520989,11.74751488,8.182659686,3.125361572,31.44411585,22.5127861,41.66886505,35.25660127,7.870409047,38.86297181,17.34308491,21.81589297,17.8578696,8.28861202,21.69798394,15.03564508,27.97069343,0.925300235,1.77776317,4.566470731,24.98276338,23.70895111,8.847488666,12.79087474,8.775269214,19.03462753,38.56561703,27.71095071,56.20657081,8.768222973,25.76753955,41.99569499,31.68861865,5.919248664,8.476329523,1.929944277,1.635119309,1.83993424,1.360881488,5.983649964,10.31045863,7.788891072,14.83559823,13.18805277,4.389869107,1.49015287,4.512920686,11.56268444,23.11344482
lundi 24 février 2020,1.947139852,7.708832856,0.625282743,3.018466217,14.3120279,21.19352421,23.42285698,10.49423908,12.18866175,14.1331284,21.79380655,21.3871446,39.35708844,25.67025959,14.33369145,15.86906649,11.61112976,16.9015232,15.56675691,15.88325214,8.655494309,17.09047622,5.24754506,17.71161503,1.094353305,10.21520102,10.24255669,51.80300977,23.02602484,11.11608346,12.6036873,22.47894047,7.43862233,3.322425135,1.722992773,40.48340732,20.88596308,1.877448192,11.47153712,7.334890973,6.729665762,27.76600928,20.54175678,42.13183457,32.71892909,9.047638778,47.33320124,22.70940729,21.07518218,22.08971446,9.278749383,23.72932504,13.37545965,26.66808887,0.977247116,1.633492641,4.62637153,28.54594273,22.20911074,9.178905308,13.14272516,8.763535177,18.04184421,42.58207694,25.3032005,58.61228643,7.355152681,27.64206351,40.62747845,30.79603685,4.516399304,10.27550071,1.744840333,1.060055826,2.601975481,1.558962904,10.6889495,9.902947245,4.294526132,14.81694291,13.9861667,4.236834567,1.416220318,5.744228141,13.95024511,21.4635129
lundi 2 mars 2020,1.86884265,7.552316812,0.626299193,2.896696256,17.05534954,18.33903967,26.64967084,14.90909103,10.88708641,14.95309607,26.56169625,26.35157149,32.68783705,25.0752365,15.83937112,15.98133515,12.57338998,15.45515711,18.69284477,18.21400871,11.17110945,18.95149925,9.472312221,20.8762996,1.213697438,10.41347554,10.4891057,47.86035146,25.75212741,8.461504424,13.4614282,20.13719676,6.095663723,4.313406579,1.221485872,43.69320014,19.89966194,3.30403313,9.588721484,8.047046929,4.149579304,28.60058105,23.72934671,42.39571133,35.08780999,9.261512879,63.66395277,28.69894835,19.31951438,17.4032506,8.744150661,25.41180974,15.50047632,41.63821356,1.658583277,2.444189055,3.892109657,25.77678187,22.30691022,10.73265925,15.01555652,9.811196383,16.10076471,44.955089,34.57172799,58.31717793,10.2187247,32.25732853,46.33208423,31.20846516,5.652644999,10.46394047,2.313191342,1.205015079,1.141642837,1.251977134,10.13231532,11.43418012,5.702038009,14.74331455,16.44035693,3.610721822,0.971654661,5.954860083,18.74747414,22.15583744
lundi 9 mars 2020,1.99935426,7.015873481,0.557597799,2.792025283,18.49496653,20.60773405,26.22284128,15.25289732,10.49924053,14.85005905,27.40111444,24.4666088,39.37862768,24.99427861,14.65365676,14.09263095,15.45322342,15.90145982,13.13015325,15.70521447,11.13024615,18.5734793,8.736011735,20.03058706,1.424057009,11.75918311,10.91888772,43.0246843,26.99313582,13.01337702,12.76677449,20.40287819,7.040685723,3.679565813,1.189510282,38.56097824,21.8982456,3.480984359,10.37450919,8.132228176,5.233206793,27.22576354,23.56053472,40.76778645,31.51418152,13.24269381,57.55697684,33.1688308,19.93240399,16.98517057,9.004805834,23.55011838,16.2727478,43.67764588,2.349850564,2.404213348,7.256682946,29.43454813,22.65439966,10.45505728,14.33349172,9.047186214,16.9615618,46.22546322,29.56610673,53.68241898,10.33127919,27.00535318,46.03750403,30.86330733,3.93941307,10.04696146,2.36095483,1.639247656,1.502706829,1.749799246,10.16201185,11.29301452,5.409434623,13.90659199,16.78728521,4.109509171,1.287109844,5.561776504,16.96448027,22.92972619
lundi 16 mars 2020,1.989117702,6.998095696,0.535484604,2.727349438,15.53162282,20.45586471,25.11883089,13.38711313,9.872794824,13.05379731,27.77656154,23.02706595,47.25459077,25.05818403,13.62047561,13.3970796,10.71962362,17.56955876,15.69235862,13.29338649,12.59537271,21.05559712,9.161925153,17.66000283,1.025402265,9.754997126,7.357161967,39.04806618,24.42453027,14.13690218,10.39203521,17.6573511,6.053768643,2.88751525,1.33859316,42.07845265,18.55881444,2.102189782,7.279943223,7.225298082,5.463398681,26.14404562,18.31044065,39.99197181,34.29943958,8.509563534,53.03039229,30.16755337,17.48695366,18.02100576,9.130349479,22.56095506,14.59107891,30.47375512,1.635362518,1.809837916,3.75875193,27.70341737,19.15550223,10.58167948,16.074751,8.548964442,15.33063161,41.56314156,26.42496285,51.19709614,8.671962806,25.12942101,43.82932845,30.14416815,4.679799446,10.64813024,1.96584311,1.254524913,2.080113395,1.618696208,6.559828815,9.921396609,4.709655202,14.81110316,14.66576177,3.960811667,1.669024589,6.659646964,15.77506966,19.99013359
lundi 23 mars 2020,1.90892042,7.359573375,0.634462952,2.942494425,17.08176861,20.24564466,23.69001588,17.54778027,10.51420022,13.63888524,26.66090912,22.58989142,34.2184006,23.90184904,14.7358565,13.20755656,9.811380441,16.73556088,13.24801622,13.26576977,12.19401874,21.52581295,8.013512665,16.86431081,1.242044383,9.252971455,7.108393524,50.35764716,24.417509,13.21511095,12.56401322,20.11616951,6.293695897,3.72470927,1.539153293,43.74203808,18.95861025,1.899267943,11.62976526,7.302511193,6.004183678,28.79694151,15.97018505,34.92522839,24.40138003,10.79080713,54.34478539,33.35607939,20.5628876,19.33456378,9.057868332,19.54576069,16.96482509,29.96541994,1.864460299,1.903969832,5.403159744,25.50674856,22.01352328,9.992246808,14.5627614,9.423742421,13.94449753,42.2580558,25.41997505,55.69921791,8.140858994,26.98423126,42.41435377,31.0478385,4.495275238,12.64577697,2.556803257,1.431831544,3.566450184,1.339204908,10.74818522,14.21549333,5.334849433,14.92865024,17.90886333,3.151379572,1.663843695,5.691810673,13.27729776,22.18013425
